State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Sex_Ratio,Literacy_Rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,856350,626997,1323667,748939,574728,1066460,257207,1417572,363737,484912,84661,390357,2399901,275970,15422,1377,25510,617,322,22120,194954,566108,5512,45202,597466,220248,817714,232470,344167,281752,225957,143143,100226,19277,1346992,1030640,2377632,1001.0,54.11
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,1338474,972486,2036166,1208544,827622,1679655,356511,2044982,413253,879537,105343,638033,3599372,443456,20463,932,341,1417,309,14858,223016,897970,8606,48299,902997,341431,1244428,462273,720357,582075,331793,162175,144915,23341,2426929,1369069,3795998,977.0,56.63
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,1484794,1183084,1933357,1202223,731134,1669852,263505,2240707,434544,748093,57269,693451,3737588,397870,24129,867,253,1322,358,11677,324406,944555,13763,67087,907970,395900,1303870,522961,770836,673197,548336,265199,246409,36017,3062955,1170993,4233948,997.0,63.92
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,1716933,1571644,2093681,1545831,547850,1748117,345564,3060615,160407,1122046,57853,753375,4983330,77777,77825,738,413,4149,403,9661,479914,1297273,22411,93784,1199479,406362,1605841,669420,947606,797497,521562,271809,263023,47702,3518619,1524603,5043222,1006.0,63.8
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,1634726,1325715,2381624,1442370,939254,2106326,275298,2506189,302341,1227956,47436,803891,4217597,559770,89763,764,323,3282,332,15982,648568,1186028,19383,80434,1069877,513113,1582990,736270,845810,674957,453446,246580,221924,30279,3209266,1474349,4683615,1003.0,60.57
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,1542688,1349467,1413297,1045585,367712,1096081,317216,2530026,28308,23029,46157,1315803,2046051,1713405,87522,11446,1268,19560,1929,62142,581509,869721,149034,274653,0,1066289,1066289,230962,596591,685215,811501,517425,558090,45937,3445721,556902,4002623,954.0,73.34
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,1257238,949591,1876768,1049463,827305,1590304,286464,1899501,360390,756859,168340,591179,3491139,244723,24979,2086,332,312,115,12583,344667,926768,8831,46584,877236,288044,1165280,340372,453505,482842,463403,293493,256633,35312,2325560,1280393,3605953,1008.0,58.44
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,901640,728594,1410062,802906,607156,1215871,194191,1387308,224972,804537,19799,360754,2595321,158887,33463,655,217,459,539,7829,219710,668519,8628,42171,669262,201363,870625,295639,346118,329630,238811,154774,160804,25456,1551232,875272,2426504,1011.0,58.28
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,1598959,1410759,2048880,1327299,721581,1744978,303902,2468518,150166,1006976,48444,843294,4023678,307043,145598,1393,863,6320,906,31597,632890,1163932,30438,101450,909292,567042,1476334,618101,692968,630603,531821,312753,328454,54728,3169428,1352499,4521927,992.0,66.63
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,1246369,880792,2029425,1164122,865303,1757520,271905,2024038,310954,1037302,60791,620378,3328380,670737,33165,737,255,2235,434,17520,195001,816721,10081,56478,783853,306982,1090835,521327,672951,466940,271828,152453,115504,19282,2220285,1517933,3738218,988.0,52.48
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,1158386,782260,2082501,1140067,942434,1815643,266858,1970527,569142,931084,57846,524429,3673456,334172,21345,658,290,388,267,22452,136843,757821,6153,60812,848963,161052,1010015,419379,596134,441585,308575,169083,98227,16121,2049104,1604319,3653423,977.0,47.88
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,1637137,953406,683731,1442203,837874,604329,1195494,246709,1591085,353221,571129,67642,450211,2637313,342449,34301,1309,554,457,217,16688,163074,604719,8635,47170,593653,195479,789132,324267,503713,481984,373729,201928,127493,16466,2029580,1199818,3229398,992.0,53.97
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,2001019,1160757,840262,1741693,976428,765265,1493419,248274,1747116,325224,863131,45124,508214,3249231,188646,35025,937,241,250,132,14347,228818,789225,7715,53777,833504,197433,1030937,369537,518669,471233,367424,238695,196134,27003,2188695,1294811,3483506,983.0,57.36
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,1389810,790214,599596,1261076,684320,576756,1055965,205111,1290259,278102,448281,171311,363382,2123426,391596,19653,2357,1847,542,146,11768,186740,545913,5261,35036,565165,155133,720298,269487,421399,338668,396396,223365,141850,13382,1804547,1041862,2846409,1040.0,54.47
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1904435,1107686,796749,1700567,991842,708725,1463508,237059,1696881,280029,889218,42603,488717,3150195,220654,18775,266,97,204,206,7051,290947,763746,6151,43611,873486,214089,1087575,489805,495556,368919,249034,142026,133627,21976,1900943,1218310,3119253,981.0,56.05
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,1495381,857824,637557,1290288,766483,523805,936244,354044,1412826,165317,700833,34479,389659,2666950,9025,18879,193,77,160,106,7724,149554,615432,3988,32280,752752,149684,902436,291793,348354,319244,251521,146721,121213,21031,1499877,1009992,2509869,1015.0,55.32
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,1238388,707503,530885,1157962,679289,478673,953215,204747,1186512,212285,557254,27469,360954,2299129,16423,17853,380,114,815,183,9577,140361,527736,4453,24128,592458,157056,749514,250446,300057,257468,186576,115144,103591,27041,1240323,1031683,2272006,1019.0,52.82
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,2065023,1179790,885233,1705655,960926,744729,1442197,263458,1806921,401646,758092,43550,502367,3273755,197333,31377,1453,253,569,126,7710,237349,828077,12952,59006,758738,288249,1046987,314252,457529,454322,430242,279234,248942,27663,2212184,1191252,3403436,997.0,58.79
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,2652389,1379223,1273166,1773112,1199338,573774,1534166,238946,2163854,155275,1061787,33861,522189,3733191,86142,109120,288,209,1578,211,6227,435334,1017568,12050,55613,1007255,248373,1255628,595331,718960,585595,415178,215863,207586,33329,2771842,1028767,3800609,1004.0,67.37
